utterance_id,speaker,episode_id,scene_id,transcript,emotion_label,valence,arousal,dominance,sep,vad_coverage
s01_e01_c04_u004,Chandler Bing,s01_e01,s01_e01_c04,It's a beautiful thing.,Joyful,0.2160,-0.2033,-0.0613,0.1853,0.750
s01_e01_c04_u006,Chandler Bing,s01_e01,s01_e01_c04,I would have to say that is an 'L'-shaped bracket.,Neutral,0.0202,-0.1690,0.0288,0.0346,0.800
s01_e01_c04_u008,Chandler Bing,s01_e01,s01_e01_c04,I have no idea.,Scared,-0.0880,-0.3210,-0.1810,-0.1785,0.750
s01_e01_c04_u011,Chandler Bing,s01_e01,s01_e01_c04,All finished!,Joyful,0.0100,-0.1130,0.2735,0.1467,1.000
s01_e01_c04_u014,Chandler Bing,s01_e01,s01_e01_c04,"Yes, please don't spoil all this fun.",Scared,0.1670,0.1556,0.0586,0.1963,1.000
s01_e01_c04_u017,Chandler Bing,s01_e01,s01_e01_c04,"Oh, God.",Sad,0.5160,0.0360,0.7720,0.9020,0.500
s01_e01_c04_u019,Chandler Bing,s01_e01,s01_e01_c04,Oh my God!,Mad,0.0440,-0.0150,0.3080,0.1980,1.000
s01_e01_c07_u003,Chandler Bing,s01_e01,s01_e01_c07,You must stop!,Mad,-0.3120,-0.1080,-0.0690,-0.3465,0.667
s01_e01_c07_u005,Chandler Bing,s01_e01,s01_e01_c07,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Sad,0.1738,-0.0335,0.0650,0.2063,0.730
s01_e01_c07_u009,Chandler Bing,s01_e01,s01_e01_c07,Stay out of my freezer!,Mad,-0.1053,-0.0973,-0.1120,-0.1613,0.800
s01_e01_c10_u003,Chandler Bing,s01_e01,s01_e01_c10,"Angela's the screamer, Andrea has cats.",Joyful,-0.6880,0.3400,-0.2160,-0.7960,0.167
s01_e01_c13_u014,Chandler Bing,s01_e01,s01_e01_c13,And yet you're surprisingly upbeat.,Neutral,0.4387,0.1667,0.3893,0.6333,0.800
s01_e01_c13_u016,Chandler Bing,s01_e01,s01_e01_c13,"Oh, how well you know me...",Neutral,0.4020,-0.1323,0.1593,0.4817,0.667
s01_e01_c15_u012,Chandler Bing,s01_e01,s01_e01_c15,"Did you make it, or are you just serving it?",Scared,0.2192,0.0862,0.1448,0.2916,0.600
s01_e01_c15_u015,Chandler Bing,s01_e01,s01_e01_c15,"Kids, new dream... I'm in Las Vegas.",Peaceful,0.7320,-0.2353,-0.1153,0.6743,0.429
s01_e01_c15_u018,Chandler Bing,s01_e01,s01_e01_c15,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",Neutral,0.1940,-0.3040,-0.2340,0.0770,0.111
s01_e02_c01_u006,Chandler Bing,s01_e02,s01_e02_c01,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Joyful,0.2205,-0.0766,0.0794,0.2602,0.742
s01_e02_c01_u008,Chandler Bing,s01_e02,s01_e02_c01,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Mad,0.1210,0.1629,0.1370,0.1895,0.744
s01_e02_c11_u003,Chandler Bing,s01_e02,s01_e02_c11,"I dunno, but.. I think it's about to attack the Enterprise.",Joyful,0.0890,0.0057,0.1403,0.1592,0.538
s01_e03_c01_u010,Chandler Bing,s01_e03,s01_e03_c01,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,Neutral,0.1452,-0.1484,-0.0254,0.1325,0.571
s01_e03_c01_u014,Chandler Bing,s01_e03,s01_e03_c01,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",Neutral,0.1356,-0.1172,-0.0514,0.1099,0.852
s01_e03_c02_u001,Chandler Bing,s01_e03,s01_e03_c02,"""So how does it feel knowing you're about to die?""",Neutral,0.0337,-0.0037,0.0133,0.0403,0.700
s01_e03_c02_u003,Chandler Bing,s01_e03,s01_e03_c02,"Hey, that was really good!",Joyful,0.2430,-0.1190,-0.0520,0.2170,0.800
s01_e03_c02_u005,Chandler Bing,s01_e03,s01_e03_c02,"Okay. ""So. Whaddya want from me, Damone, huh?""",Neutral,-0.0507,-0.2027,-0.2940,-0.1977,0.500
s01_e03_c02_u007,Chandler Bing,s01_e03,s01_e03_c02,"""Smoke away.""",Neutral,-0.5530,-0.1420,-0.2570,-0.6815,1.000
s01_e03_c02_u009,Chandler Bing,s01_e03,s01_e03_c02,I think this is probably why Damone smokes in his cell alone.,Neutral,0.0457,-0.0619,-0.0756,0.0079,0.583
