scene_position,utterance_id,speaker,emotion_label,transcript,valence,arousal,dominance,sep,vad_coverage
1,s02_e18_c13_u002,Ross Geller,Neutral,C'mon.,,,,,0.000
2,s02_e18_c13_u003,Rachel Green,Neutral,Joey.,,,,,0.000
3,s02_e18_c13_u004,Ross Geller,Neutral,Open up. We want to talk to you.,0.2943,0.0417,0.1013,0.3449,0.875
4,s02_e18_c13_u005,Joey Tribbiani,Sad,I don't feel like talkin.,0.2700,-0.0620,0.0550,0.2975,0.600
5,s02_e18_c13_u006,Rachel Green,Peaceful,"Oh c'mon Joey, we care about you.",0.3505,0.1675,0.2665,0.4838,0.500
6,s02_e18_c13_u007,Chandler Bing,Peaceful,We're worried about you.,-0.1817,0.3550,0.0690,-0.1472,0.750
7,s02_e18_c13_u008,Monica Geller,Mad,And some of us really have to pee.,0.0592,0.0210,0.0553,0.0868,0.875
8,s02_e18_c13_u009,Monica Geller,Sad,Sorry Joey,-0.1880,-0.2760,-0.5760,-0.4760,0.500
9,s02_e18_c13_u010,Joey Tribbiani,Mad,Hey.,0.0960,-0.2060,-0.2760,-0.0420,1.000
10,s02_e18_c13_u011,Phoebe Buffay,Peaceful,"Listen, sorry about your death, that really sucks.",-0.1934,0.0467,-0.1256,-0.2562,0.875
11,s02_e18_c13_u012,Chandler Bing,Peaceful,We came over as soon as we saw.,0.0474,0.1384,0.1941,0.1445,0.875
12,s02_e18_c13_u013,Ross Geller,Sad,How could you not tell us?,0.1087,-0.1705,0.1525,0.1850,0.667
13,s02_e18_c13_u014,Joey Tribbiani,Sad,"I don't know, I was kinda hopin' no one would ever find out.",0.0873,-0.1628,-0.0747,0.0500,0.615
14,s02_e18_c13_u015,Rachel Green,Powerful,"Well, maybe they can find a way to bring you back.",0.2198,-0.1351,-0.0839,0.1778,0.818
15,s02_e18_c13_u016,Joey Tribbiani,Sad,"Naa, they said that when they found my body, my brain was so smashed in that the only doctor that could have saved me was me. Supposed to be some kind of irony or somethin.",0.1264,-0.0868,0.0466,0.1497,0.714
16,s02_e18_c13_u017,Phoebe Buffay,Powerful,"But Joey, you're gonna be fine. You don't need that show, it was just a dumb soap opera.",0.1300,-0.0943,-0.0190,0.1205,0.684
17,s02_e18_c13_u018,Joey Tribbiani,Sad,"Phoebe, this was the greatest thing that ever happened to me.",0.1353,-0.0830,0.0050,0.1378,0.636
18,s02_e18_c13_u019,Phoebe Buffay,Powerful,"Yes, I was going to incorporate that. Oh good, here's Monica, she'll have something nice to say.",0.3291,-0.0626,0.0828,0.3705,0.765
19,s02_e18_c13_u020,Monica Geller,Joyful,"Um, I straightened out your shower curtain so you won't get mildew. What? To me that's nice.",0.1115,-0.0711,-0.0578,0.0826,0.706
20,s02_e18_c13_u021,Chandler Bing,Peaceful,It's gonna be ok. You know that?,0.1365,-0.2157,0.0355,0.1542,0.625
21,s02_e18_c13_u022,Joey Tribbiani,Sad,"No, I don't. It's like, ya know, you work your whole life for somethin' and you think that when you get it it's never gonna be as good as you thought it would be. But this so was. Ya know, it changed everything. Like the other day, I got this credit card application, and I was pre- approved. Huh? I've never been pre-approved for anything in my life.",0.1520,-0.1347,0.0439,0.1739,0.735
22,s02_e18_c13_u023,Chandler Bing,Peaceful,I'm sorry man.,-0.1880,-0.2760,-0.5760,-0.4760,0.333
23,s02_e18_c13_u024,Rachel Green,Joyful,"Yeah, Joey honey, I don't know if this'll mean anything to you but you'll always be pre-approved with us.",0.1902,-0.1072,0.0502,0.2153,0.778
24,s02_e18_c13_u025,Joey Tribbiani,Sad,"No, that means nothin to me.",0.1500,-0.1223,-0.1380,0.0810,0.667
